AGS,lon,lat,county,state,fair_dic,gem_women_share,gem_pop_density,gem_council,gem_cdu_biggest,pop_tot,rot_nearest_neighbor,rot_adel_int1,rot_uradel_int,rot_fem_share,rot_adel_fem,childlabor_mean_1898,ue_longterm,support_expenses_total_capita,law_cat,state_1898,welfare_recip_capita,elev_mean,river_dist_min,roman,peas_total,dist_wttb,law_cc_combined,suminc31_gini,suminc31_mean,suminc31_median,log_suminc31_gini,log_suminc31_mean,log_suminc31_median,inc_rental_gini,inc_rental_mean,inc_rental_median,log_inc_rental_gini,log_inc_rental_mean,log_inc_rental_median,rot_scaled,rot_scaled_uradel,rot_scaled_fem
AGS_08335002,9.08845761,47.71887079,county_08335,state_08,0,0.25,-0.15993451453006674,-0.2482868677473445,1,6919,1,0.0446927374301676,0,0.111731843575419,20,9.95,27,3.82286876196377,law_baden_law,STAAT_Baden_1898,0.0573902073418358,235.354546617076,1.00406577990189,1,0.929092467484649,527.211188158901,1,0.5093795,31695.07,22355,-0.674561960670204,10.3639164272661,10.0148052886681,0.6959906,3733.169,111,-0.362419124486047,8.22501274978912,4.70953020131233,0.7087947975602681,-0.4286575391366834,2.409245129295232
AGS_08335066,9.095173235,47.695434285,county_08335,state_08,1,0.285714285714286,0.23177226772737244,-0.8310887850093716,1,5182,1,0.0446927374301676,0,0.111731843575419,20,9.95,7,3.82286876196377,law_baden_law,STAAT_Baden_1898,0.0573902073418358,211.251700348144,0.0624335338647502,1,0.929092467484649,529.287813486366,1,0.5259359,30696.33,21075,-0.642575936788211,10.3318983824554,9.95584278287006,0.6476362,3458.489,482,-0.434426160038028,8.14858706746597,6.1779441140506,0.7087947975602681,-0.4286575391366834,2.409245129295232
AGS_08335063,8.99499196,47.74422863,county_08335,state_08,0,0.346153846153846,0.5268938160035253,0.3345150495146825,1,30271,0,0.0333333333333333,0,0.116666666666667,7,9.95,154,3.82286876196377,law_baden_law,STAAT_Baden_1898,0.0573902073418358,236.812292673398,0.360793294107947,1,0.929092467484649,528.017203719884,1,0.4848172,28239.05,21620.5,-0.723983366308526,10.2484610508147,9.98139721766029,0.661837,3199.356,357.5,-0.412735976928082,8.07070481853432,5.87913536213406,0.36373875330852296,-0.4286575391366834,0.4840285807485377
AGS_01059186,9.74076923,54.790184765,county_01059,state_01,0,0.117647058823529,-0.6509094539349392,-0.539687826378358,0,2785,1,0.0952380952380952,0.0238095238095238,0.0238095238095238,1,5.95,46,3.69891308552199,law_dan_law,STAAT_Preussen_1898,0.0955280972393487,NA,NA,0,0,378.38771953581,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2441729804134605,2.309459406364927,-0.4045329031960906
AGS_03359018,9.29503191,53.835890075,county_03359,state_03,0,NA,NA,NA,NA,1873,1,0.0204081632653061,0,0.0408163265306122,2,4.05131847150536,56,3.75734617171333,law_common_law,STAAT_Preussen_1898,0.091113778156895,1.1233103828537,NA,0,0,314.316280533215,0,0.4970515,23897.64,17966.5,-0.699061636523487,10.0815349882741,9.7962641917481,0.6440573,5144.145,1800,-0.439967581680558,8.54561445370058,7.49554194388426,-0.028879382021078953,-0.4286575391366834,-0.25643932253865254
AGS_02000000,9.914596735,53.5477332,county_02000,state_02,0,NA,NA,NA,NA,NA,0,0.063034188034188,0.0106837606837607,0.0961538461538462,90,5.83468388906831,NA,4.98152205961899,law_common_law,STAAT_Preussen_1898,NA,11.2797999871846,NA,0,0,262.560713782346,0,0.5479186,31223.64,20783,-0.601628543213287,10.3489307792014,9.94189062381907,0.7664359,7779.427,469,-0.266004211042598,8.95923796407451,6.15060276844628,1.265939198561533,0.799984679998657,12.775795775315895
AGS_01056045,9.535446535,53.695876805,county_01056,state_01,0,NA,NA,NA,NA,944,1,0.0166666666666667,0,0.0833333333333333,5,5.95,2,4.98152205961899,law_common_law,STAAT_Preussen_1898,0.08653706869079,1.5668246243644,NA,0,0,292.09452158327,0,0.5011387,34692.66,25586,-0.690872369904755,10.4542834161824,10.149800605877,0.736639,6147.29,733,-0.305657330404799,8.72376661327914,6.59714570188665,-0.1425320001428042,-0.4286575391366834,0.1878414194336616
AGS_01061020,9.21992863,53.89578832,county_01061,state_01,0,NA,NA,NA,NA,36,1,0.0204081632653061,0,0.0408163265306122,2,5.95,1,3.75734617171333,law_common_law,STAAT_Preussen_1898,0.0944682464454976,0.590034346968869,NA,1,0,322.476069703224,0,0.3574755,22907.58,20270,-1.02868845066499,10.0392231391393,9.91689723944605,NA,NA,NA,NA,NA,NA,-0.028879382021078953,-0.4286575391366834,-0.25643932253865254
AGS_01058004,9.90986454,54.449996645,county_01058,state_01,0,NA,NA,NA,NA,306,1,0,0,0.116279069767442,10,5.95,1,3.69891308552199,law_dan_law,STAAT_Preussen_1898,0.0802939005717181,8.38797713755126,NA,0,0,340.611472684955,0,0.5136321,22097.5,14696.5,-0.666248028559429,10.0032197589351,9.59536464917956,0.7294786,3881.559,275.5,-0.31542524661065,8.26399215603937,5.61858762859297,-0.6488027535941345,-0.4286575391366834,0.9283093227208519
AGS_01055032,10.821764955,54.10053505,county_01055,state_01,0,0.133333333333333,1.1627466063803271,0.7230496610227005,1,14887,0,0,0,0,0,5.95,153,2.74319031029441,law_common_law,STAAT_Preussen_1898,0.0899593153829682,6.5965856032737,NA,0,0,277.032809658701,0,0.4904867,24122.62,18002.5,-0.712357115532926,10.0909052684909,9.79826591612302,0.7218265,5380.272,689,-0.325970473676255,8.59049420949865,6.53524127101366,-0.6488027535941345,-0.4286575391366834,-0.5526264838535286
